year,variableA,variableB,variableC,variableD,variableE,variableF
2017-04-30,41.0427,53.92722,45.62574,36.45967,59.38926,48.46518
2017-04-30,41.98776,52.59581,46.93704,37.03849,57.99697,47.19464
2017-05-01,44.12144,50.34044,48.82506,39.41782,54.91676,45.76411
2017-05-01,40.90617,54.12692,45.40572,36.40663,59.50862,48.74522
2017-05-01,41.87309,52.76786,46.76357,36.98261,58.10855,47.42718
2017-05-02,44.19493,50.27415,48.93872,39.45113,54.85132,45.69698
2017-05-02,41.01395,54.02813,45.53724,36.49067,59.42989,48.62637
2017-05-02,41.99481,52.65896,46.92556,37.06407,58.00486,47.31306
2017-05-03,41.48521,53.02538,45.87061,37.0998,58.46288,47.58789
2017-05-03,44.34391,49.80513,48.90283,39.78498,54.46153,45.14873
2017-05-03,42.38294,51.87002,47.22184,37.54404,57.22107,46.51897
2017-05-04,44.23395,49.99863,48.69094,39.77697,54.58596,45.4113
2017-05-04,41.48521,53.02538,45.87061,37.0998,58.46288,47.58789
2017-05-04,42.42966,51.85018,47.21623,37.64309,57.14867,46.55169
2017-05-05,44.06768,50.19212,48.48866,39.64671,54.87309,45.51114
2017-05-05,41.49231,52.98911,45.89816,37.08645,58.44722,47.531
2017-05-05,42.33636,51.93982,47.07829,37.59442,57.23312,46.64652
2017-05-06,41.32185,53.11271,45.67287,36.97084,58.37172,47.85369
2017-05-06,44.32235,50.10137,48.65945,39.98526,54.64916,45.55357
2017-05-06,42.17928,52.08133,46.86745,37.49111,57.26179,46.90088
2017-05-07,41.26906,53.12979,45.62116,36.91697,58.36459,47.89498
2017-05-07,44.32235,50.10137,48.65945,39.98526,54.64916,45.55357
2017-05-07,42.13611,52.09691,46.83911,37.43311,57.26974,46.92409
2017-05-08,44.14452,50.20971,48.51689,39.77215,54.84586,45.57356
2017-05-08,41.42287,53.04214,45.74117,37.10458,58.23603,47.84824
2017-05-08,42.16862,52.08101,46.80999,37.52726,57.21143,46.95058
2017-05-09,41.14016,52.99695,45.44517,36.83515,57.98884,48.00506
2017-05-09,44.17577,50.24742,48.55055,39.80099,54.92481,45.57002
2017-05-09,41.93328,52.1669,46.63458,37.23199,57.1736,47.1602
2017-05-10,41.02212,53.14196,45.11921,36.92503,57.86072,48.4232
2017-05-10,42.81641,51.53957,48.18433,37.44849,56.71715,46.36199
2017-05-10,41.21492,52.84939,46.01898,36.41087,57.7994,47.89938
2017-05-11,42.88606,51.48355,48.32984,37.44228,56.67863,46.28847
2017-05-11,40.85036,53.25583,45.04947,36.65126,58.01551,48.49614
2017-05-11,41.15792,52.87853,46.07581,36.24004,57.84761,47.90946
2017-05-12,42.59069,51.74759,47.81786,37.36352,57.01383,46.48135
2017-05-12,40.99252,53.26033,45.08227,36.90276,57.98465,48.53601
2017-05-12,41.12946,52.89473,45.89158,36.36733,57.90615,47.88332
2017-05-13,42.59069,51.74759,47.81786,37.36352,57.01383,46.48135
2017-05-13,40.91915,53.34138,45.03639,36.80191,58.09837,48.58439
2017-05-13,41.08303,52.949,45.8761,36.28997,57.99341,47.90459
2017-05-14,40.29266,53.97565,44.29087,36.29446,58.44701,49.5043
2017-05-14,42.85477,51.5491,48.10534,37.6042,56.80383,46.29438
2017-05-14,40.63778,53.41823,45.32814,35.94741,58.27899,48.55746
2017-05-15,42.67153,51.77419,47.97429,37.36876,57.15453,46.39384
2017-05-15,40.18683,54.08882,44.25157,36.12209,58.62894,49.54869
2017-05-15,40.50564,53.57767,45.21157,35.79972,58.48868,48.66667
2017-05-16,41.78514,52.59653,46.83479,36.73549,57.72076,47.4723
2017-05-16,39.56028,54.62194,43.5225,35.59806,59.05186,50.19202
2017-05-16,39.90671,54.10234,44.44628,35.36713,58.85572,49.34895
2017-05-17,39.36876,54.66336,43.26851,35.46902,59.06248,50.26425
2017-05-17,41.0498,53.19755,46.06669,36.03291,58.11063,48.28447
2017-05-17,39.6813,54.27899,44.13726,35.22533,58.89919,49.65879
2017-05-18,39.05318,54.66667,42.8056,35.30076,58.80011,50.53323
2017-05-18,40.4189,53.61588,45.37959,35.4582,58.29942,48.93235
2017-05-18,39.45036,54.28648,43.80222,35.09851,58.69677,49.87619
2017-05-19,39.62964,54.51856,44.39882,34.86047,59.25576,49.78135
2017-05-19,38.32204,55.4182,42.01789,34.62618,59.65656,51.17984
2017-05-19,38.86071,54.87609,43.13092,34.5905,59.29292,50.45927
2017-05-20,38.23556,55.41444,41.97803,34.49308,59.66436,51.16453
2017-05-20,39.62964,54.51856,44.39882,34.86047,59.25576,49.78135
2017-05-20,38.80148,54.87124,43.10471,34.49825,59.29087,50.45161
2017-05-21,38.28256,55.40812,41.99757,34.56755,59.6697,51.14653
2017-05-21,39.62964,54.51856,44.39882,34.86047,59.25576,49.78135
2017-05-21,38.83015,54.86396,43.12059,34.5397,59.28749,50.44043
2017-05-22,39.63826,54.53247,44.42299,34.85353,59.28426,49.78069
2017-05-22,38.26906,55.46428,41.93174,34.60639,59.66468,51.26388
2017-05-22,38.78198,54.95404,43.04203,34.52193,59.31543,50.59264
2017-05-23,40.24492,54.41688,45.08392,35.40591,59.00794,49.82582
2017-05-23,38.31108,55.46129,41.9374,34.68476,59.66682,51.25577
2017-05-23,39.14797,54.91948,43.61942,34.67653,59.17537,50.66359
2017-05-24,39.81437,54.01662,44.79591,34.83282,58.33023,49.70301
2017-05-24,37.85646,55.77018,41.47275,34.24018,60.07504,51.46532
2017-05-24,38.99393,54.72712,43.54335,34.44452,58.86196,50.59229
2017-05-25,37.89192,55.7291,41.5061,34.27774,60.04083,51.41737
2017-05-25,39.91333,53.94802,44.96519,34.86146,58.26553,49.63052
2017-05-25,39.05955,54.67347,43.67546,34.44365,58.80458,50.54237
2017-05-26,40.22279,53.76402,45.31712,35.12847,58.03189,49.49614
2017-05-26,38.20471,55.57269,41.92799,34.48142,59.82375,51.32163
2017-05-26,39.28042,54.5595,43.92625,34.63459,58.65606,50.46295
2017-05-27,40.15144,53.83537,45.1971,35.10577,58.08748,49.58326
2017-05-27,38.26954,55.52485,42.00937,34.52972,59.77212,51.27757
2017-05-27,39.27729,54.57211,43.88622,34.66835,58.6447,50.49953
2017-05-28,38.41018,55.39933,42.24271,34.57765,59.6599,51.13876
