date,close
8-Nov-17,43
8-Nov-17,37
9-Nov-17,36.3
13-Nov-17,36
9-Nov-17,39
10-Nov-17,34.9
9-Nov-17,37
8-Nov-17,38.32
9-Nov-17,44
11-Nov-17,35.5
10-Nov-17,38
12-Nov-17,46
13-Nov-17,35
12-Nov-17,37.5
11-Nov-17,39
11-Nov-17,42
13-Nov-17,36.8
13-Nov-17,44
13-Nov-17,44
12-Nov-17,38
13-Nov-17,40
14-Nov-17,37.4
13-Nov-17,38
15-Nov-17,41
14-Nov-17,41
14-Nov-17,37
15-Nov-17,38
14-Nov-17,45
14-Nov-17,34
15-Nov-17,41
16-Nov-17,37.8
15-Nov-17,39
15-Nov-17,37
15-Nov-17,35.24
16-Nov-17,42
17-Nov-17,37.4
16-Nov-17,37
18-Nov-17,37.7
17-Nov-17,39
18-Nov-17,38
19-Nov-17,41
19-Nov-17,37.4
19-Nov-17,44
20-Nov-17,43
19-Nov-17,38
20-Nov-17,36.6
20-Nov-17,38
20-Nov-17,36
20-Nov-17,35
21-Nov-17,36.5
21-Nov-17,38
21-Nov-17,37
21-Nov-17,44
22-Nov-17,36.4
23-Nov-17,36.6
22-Nov-17,38
21-Nov-17,37.57
24-Nov-17,41.2
24-Nov-17,36.1
25-Nov-17,38.5
24-Nov-17,38
25-Nov-17,43
25-Nov-17,37
26-Nov-17,37.3
26-Nov-17,43
27-Nov-17,37.9
26-Nov-17,37
27-Nov-17,42
28-Nov-17,37.8
28-Nov-17,39
27-Nov-17,37
28-Nov-17,39
28-Nov-17,41
28-Nov-17,38
29-Nov-17,37.7
29-Nov-17,36
29-Nov-17,42
30-Nov-17,37.1
30-Nov-17,34
1-Dec-17,37.8
30-Nov-17,44
29-Nov-17,35.32
2-Dec-17,37
1-Dec-17,33
3-Dec-17,37.7
2-Dec-17,34
3-Dec-17,42
4-Dec-17,36
4-Dec-17,43
4-Dec-17,38.3
4-Dec-17,32
4-Dec-17,35
3-Dec-17,35
3-Dec-17,45
5-Dec-17,36.9
4-Dec-17,35
6-Dec-17,39
5-Dec-17,36
6-Dec-17,37.1
5-Dec-17,37
5-Dec-17,42
5-Dec-17,36
5-Dec-17,34.82
6-Dec-17,44
6-Dec-17,37
7-Dec-17,36.7
7-Dec-17,37
7-Dec-17,42
6-Dec-17,36
8-Dec-17,35.9
7-Dec-17,38
9-Dec-17,34.9
8-Dec-17,37
10-Dec-17,42
9-Dec-17,36
10-Dec-17,34.7
11-Dec-17,37
10-Dec-17,35
11-Dec-17,41
11-Dec-17,34.6
11-Dec-17,32
11-Dec-17,43
12-Dec-17,33.3
13-Dec-17,40
11-Dec-17,35
11-Dec-17,41
12-Dec-17,41
13-Dec-17,34.1
12-Dec-17,32
12-Dec-17,38
12-Dec-17,36
12-Dec-17,41
13-Dec-17,36
13-Dec-17,41
13-Dec-17,42
14-Dec-17,34.9
14-Dec-17,40
15-Dec-17,35.3
14-Dec-17,35
13-Dec-17,33.57
15-Dec-17,41
16-Dec-17,34.6
15-Dec-17,34
16-Dec-17,35
17-Dec-17,34.8
17-Dec-17,42
18-Dec-17,35.2
18-Dec-17,37
17-Dec-17,34
18-Dec-17,41
17-Dec-17,35
18-Dec-17,45
18-Dec-17,43
19-Dec-17,34.9
18-Dec-17,36
20-Dec-17,39
19-Dec-17,44
19-Dec-17,38
19-Dec-17,35
20-Dec-17,35.4
20-Dec-17,35
21-Dec-17,36.1
20-Dec-17,34
20-Dec-17,43
22-Dec-17,36.5
20-Dec-17,31.52
21-Dec-17,36
21-Dec-17,44
23-Dec-17,37.2
22-Dec-17,38
24-Dec-17,37.6
23-Dec-17,39
25-Dec-17,37
24-Dec-17,41
26-Dec-17,38
26-Dec-17,36.2
27-Dec-17,38
26-Dec-17,38
26-Dec-17,45
27-Dec-17,36.5
27-Dec-17,46
26-Dec-17,36.11
28-Dec-17,37.2
28-Dec-17,45
29-Dec-17,38.3
28-Dec-17,38
29-Dec-17,38
30-Dec-17,39.6
30-Dec-17,40
31-Dec-17,40.5
3-Jan-18,43
2-Jan-18,39.7
3-Jan-18,40.9
2-Jan-18,38
2-Jan-18,44
3-Jan-18,45
4-Jan-18,41.6
3-Jan-18,36.99
4-Jan-18,44
7-Jan-18,42
7-Jan-18,37
8-Jan-18,43
22-Jan-17,45
24-Jan-17,42.1
23-Jan-17,45
24-Jan-17,46
25-Jan-17,42.3
25-Jan-17,41
26-Jan-17,42.6
25-Jan-17,46
26-Jan-17,45
27-Jan-17,44.5
28-Jan-17,45.4
27-Jan-17,42
28-Jan-17,42
29-Jan-17,48.2
30-Jan-17,46.8
30-Jan-17,48
29-Jan-17,43
30-Jan-17,43
31-Jan-17,45.3
31-Jan-17,43
2-Feb-17,42
1-Feb-17,45
31-Jan-17,43
2-Feb-17,45.3
1-Feb-17,43
2-Feb-17,43
3-Feb-17,44.9
2-Feb-17,44
4-Feb-17,45.2
5-Feb-17,46
3-Feb-17,44
2-Feb-17,40
5-Feb-17,47.5
4-Feb-17,42
5-Feb-17,42
6-Feb-17,47.1
6-Feb-17,42
7-Feb-17,47.5
7-Feb-17,43
8-Feb-17,47.5
7-Feb-17,41
8-Feb-17,43
9-Feb-17,47.8
9-Feb-17,42
10-Feb-17,46.7
12-Feb-17,46
11-Feb-17,46.7
10-Feb-17,41
11-Feb-17,40
12-Feb-17,46.3
12-Feb-17,39
12-Feb-17,40
